,ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual,date,average_temp,trip_length_minutes,daily_ride_count,month,season
0,3369D016821ACD0A,classic_bike,2022-01-01 09:55:25.013,2022-01-01 10:05:47.093,Lafayette St & E 8 St,5788.13,8 Ave & W 16 St,6072.11,40.73020660529954,-73.99102628231049,40.740983,-74.001702,casual,2022-01-01,11.6,10.368,5105,1,winter
5105,EF47BB9761EB7F50,electric_bike,2022-01-02 11:38:08.176,2022-01-02 11:54:46.034,St James Pl & Oliver St,5238.05,8 Ave & W 31 St,6450.05,40.71307916,-73.99851193,40.7505853470215,-73.9946848154068,casual,2022-01-02,11.4,16.630966666666666,10561,1,winter
15666,B5E8659E2663D5A8,classic_bike,2022-01-03 18:48:26.327,2022-01-03 19:11:39.596,E 65 St & 2 Ave,6860.12,Crescent St & Broadway,6827.11,40.76471851944339,-73.96222069859505,40.7633589,-73.9286471,member,2022-01-03,1.4,23.22115,8028,1,winter
23694,A6A92F9014FBE3B7,classic_bike,2022-01-04 13:05:17.258,2022-01-04 13:36:53.648,Leonard St & Church St,5359.11,Leonard St & Church St,5359.11,40.717571,-74.005549,40.717571,-74.005549,member,2022-01-04,-2.7,31.6065,9106,1,winter
32800,3EAB103A064FDA4A,classic_bike,2022-01-05 17:05:17.751,2022-01-05 17:20:00.795,W 30 St & 10 Ave,6459.07,11 Ave & W 41 St,6726.01,40.752694,-74.002353,40.76030096,-73.99884222,member,2022-01-05,3.2,14.7174,8309,1,winter
41109,DA278E86349E4162,classic_bike,2022-01-06 19:45:43.303,2022-01-06 19:49:44.107,E 1 St & 1 Ave,5593.01,E 11 St & 1 Ave,5746.14,40.72335597960796,-73.98864984512329,40.72953837,-73.98426726,member,2022-01-06,4.9,4.0134,11009,1,winter
52118,BAA284C2373DE745,classic_bike,2022-01-07 17:34:13.890,2022-01-07 17:46:44.226,Lenox Ave & W 130 St,7753.13,Lenox Ave & W 111 St,7602.05,40.8107922,-73.9430681,40.7987859,-73.9523,member,2022-01-07,0.7,12.5056,4165,1,winter
56283,149B0CDEF3493E49,classic_bike,2022-01-08 15:56:06.816,2022-01-08 16:31:46.607,E 72 St & Park Ave,6998.08,Perry St & Greenwich Ave,5955.12,40.77118287540658,-73.96409422159195,40.735918,-74.000939,member,2022-01-08,-2.5,35.663183333333336,5949,1,winter
62232,2E32306FE6105053,classic_bike,2022-01-09 20:48:29.299,2022-01-09 20:52:20.606,Hope St & Union Ave,5187.03,Boerum St & Broadway,5004.02,40.71167351,-73.95141312,40.70538077,-73.94976519,member,2022-01-09,1.4,3.8551166666666665,5270,1,winter
67502,89B9CAF9417BD9B7,classic_bike,2022-01-10 11:06:52.837,2022-01-10 11:11:52.548,W 20 St & 7 Ave,6182.02,MacDougal St & Washington Sq,5797.01,40.74238787,-73.99726235,40.73226398,-73.99852205,member,2022-01-10,1.6,4.995183333333333,8648,1,winter
76150,900A187DABBCD5AA,electric_bike,2022-01-11 13:14:56.616,2022-01-11 13:28:14.353,MacDougal St & Prince St,5687.04,W 41 St & 8 Ave,6602.03,40.72710258,-74.00297088,40.75640548,-73.9900262,member,2022-01-11,-5.4,13.295616666666666,6482,1,winter
82632,DE8EB371279E5934,electric_bike,2022-01-12 16:14:58.341,2022-01-12 16:31:47.088,Lexington Ave & E 111 St,7567.06,St Nicholas Ave & W 134 St,7837.30,40.7954121,-73.9441232,40.816234,-73.948222,member,2022-01-12,-1.9,16.81245,10166,1,winter
92798,A439A4094C161159,electric_bike,2022-01-13 14:00:47.533,2022-01-13 14:05:35.958,E 88 St & 1 Ave,7235.13,2 Ave & E 72 St,6925.09,40.778301,-73.9488134,40.7687620293096,-73.95840793848038,member,2022-01-13,4.0,4.807083333333334,12700,1,winter
105498,E4D99F180E988038,classic_bike,2022-01-14 17:40:14.818,2022-01-14 17:45:53.599,W 42 St & 6 Ave,6517.08,E 53 St & Madison Ave,6659.03,40.75492,-73.98455,40.759711,-73.974023,member,2022-01-14,4.8,5.64635,11243,1,winter
116741,8204712CC6F8429D,classic_bike,2022-01-15 14:29:17.986,2022-01-15 14:33:23.597,W 107 St & Columbus Ave,7619.05,West End Ave & W 107 St,7650.05,40.7997568,-73.9621128676,40.8021174,-73.9681805305,member,2022-01-15,-6.7,4.093516666666667,5625,1,winter
122366,842649A22C789B31,electric_bike,2022-01-16 13:18:39.645,2022-01-16 13:24:08.165,Lafayette Ave & Classon Ave,4452.01,Hanson Pl & Ashland Pl,4395.07,40.68900443,-73.96023854,40.68506807308177,-73.97790759801863,member,2022-01-16,-8.0,5.475333333333333,5217,1,winter
127583,24C8CD28036DDDB7,classic_bike,2022-01-17 12:04:59.148,2022-01-17 12:07:09.591,4 Ave & E 12 St,5788.15,E 17 St & Broadway,5980.07,40.732647,-73.99011,40.73704984,-73.99009296,member,2022-01-17,3.9,2.1740500000000003,7272,1,winter
134855,43CCF14FD4C4AFA6,classic_bike,2022-01-18 09:07:26.051,2022-01-18 09:12:22.213,Greenwich Ave & Charles St,5914.08,W 18 St & 6 Ave,6064.08,40.735238,-74.000271,40.73971301,-73.99456405,member,2022-01-18,1.8,4.936033333333333,10635,1,winter
145490,0B10FF551396E135,electric_bike,2022-01-19 07:38:38.140,2022-01-19 07:43:37.530,31 St & Astoria Blvd,6989.07,31 St & 23 Ave,7144.01,40.7699176,-73.9184057,40.7747878,-73.9125551,member,2022-01-19,3.2,4.989833333333333,13536,1,winter
